Country,State,Year,Gender,Type Of Disease,"Cases (UOM:Number), Scaling Factor:1","Deaths (UOM:Number), Scaling Factor:1"
India,Bihar,"Calendar Year (Jan - Dec), 2019",Female,Whooping Cough,29,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Acute Diarrhoeal Diseases,123271,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Acute Respiratory Infection,398714,4
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Chicken Pox,962,1
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Cholera,,
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Diphtheria,9,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Encephalitis,170,3
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Enteric Fever(Typhoid),61141,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Gonococcal Infection,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Measles,329,4
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Meningococcal Meningitis,74,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Pneumonia(All Causes),5760,7
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Rabies,,
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Syphilis,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Neonatal,2,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Other than Neonatal,19,1
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Viral Hepatitis(All Causes),1281,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Viral Meningitis,434,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",Male,Whooping Cough,54,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",,Acute Encephalitis Syndrome,292,82
India,Bihar,"Calendar Year (Jan - Dec), 2019",,Chikungunya,594,
India,Bihar,"Calendar Year (Jan - Dec), 2019",,Dengue,6712,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",,Influenza,52,1
India,Bihar,"Calendar Year (Jan - Dec), 2019",,Japanese Encephalitis,135,27
India,Bihar,"Calendar Year (Jan - Dec), 2019",,Kala-azar,2537,0
India,Bihar,"Calendar Year (Jan - Dec), 2019",,Malaria,1608,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Acute Diarrhoeal Diseases,28831,34
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Acute Respiratory Infection,88223,31
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Chicken Pox,145,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Cholera,1,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Diphtheria,3,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Encephalitis,81,15
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Enteric Fever(Typhoid),7301,15
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Gonococcal Infection,100,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Measles,28,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Meningococcal Meningitis,45,13
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Pneumonia(All Causes),10187,97
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Rabies,3,3
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Syphilis,63,5
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Neonatal,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Other than Neonatal,8,1
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Viral Hepatitis(All Causes),639,11
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Viral Meningitis,81,11
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Female,Whooping Cough,7,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Acute Diarrhoeal Diseases,35774,44
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Acute Respiratory Infection,101663,39
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Chicken Pox,186,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Cholera,3,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Diphtheria,7,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Encephalitis,99,21
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Enteric Fever(Typhoid),7956,16
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Gonococcal Infection,59,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Measles,26,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Meningococcal Meningitis,68,16
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Pneumonia(All Causes),13341,134
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Rabies,2,2
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Syphilis,198,30
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Neonatal,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Other than Neonatal,30,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Viral Hepatitis(All Causes),1124,21
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Viral Meningitis,122,14
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Male,Whooping Cough,10,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,Acute Encephalitis Syndrome,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,Chikungunya,82,
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,Dengue,286,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,Influenza,54,3
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,Japanese Encephalitis,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,Kala-azar,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,Malaria,22,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Acute Diarrhoeal Diseases,80224,18
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Acute Respiratory Infection,262149,10
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Chicken Pox,66,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Cholera,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Diphtheria,2,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Encephalitis,67,3
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Enteric Fever(Typhoid),38430,1
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Gonococcal Infection,91,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Measles,1,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Meningococcal Meningitis,1,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Pneumonia(All Causes),2443,15
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Rabies,0,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Syphilis,1023,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Neonatal,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Other than Neonatal,2,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Viral Hepatitis(All Causes),1065,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Viral Meningitis,103,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Female,Whooping Cough,576,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Acute Diarrhoeal Diseases,87387,23
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Acute Respiratory Infection,278698,14
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Chicken Pox,115,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Cholera,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Diphtheria,2,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Encephalitis,67,2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Enteric Fever(Typhoid),40555,3
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Gonococcal Infection,86,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Measles,1,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Meningococcal Meningitis,1,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Pneumonia(All Causes),2972,41
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Rabies,3,3
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Syphilis,152,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Neonatal,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Other than Neonatal,3,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Viral Hepatitis(All Causes),1209,14
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Viral Meningitis,116,1
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Male,Whooping Cough,663,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,Acute Encephalitis Syndrome,273,5
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,Chikungunya,0,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,Dengue,722,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,Influenza,169,28
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,Japanese Encephalitis,53,5
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,Kala-azar,0,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,Malaria,60458,31
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Acute Diarrhoeal Diseases,57586,71
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Acute Respiratory Infection,132905,143
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Chicken Pox,94,1
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Cholera,32,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Diphtheria,170,16
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Encephalitis,89,3
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Enteric Fever(Typhoid),8068,10
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Gonococcal Infection,2,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Measles,86,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Meningococcal Meningitis,1,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Pneumonia(All Causes),8169,226
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Rabies,2,2
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Syphilis,24,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Neonatal,,
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Other than Neonatal,0,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Viral Hepatitis(All Causes),2097,19
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Viral Meningitis,77,3
India,Delhi,"Calendar Year (Jan - Dec), 2019",Female,Whooping Cough,0,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Acute Diarrhoeal Diseases,74575,77
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Acute Respiratory Infection,146518,216
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Chicken Pox,208,1
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Cholera,26,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Diphtheria,232,25
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Encephalitis,130,33
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Enteric Fever(Typhoid),9137,10
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Gonococcal Infection,0,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Measles,155,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Meningococcal Meningitis,5,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Pneumonia(All Causes),10579,340
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Rabies,5,5
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Syphilis,171,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Neonatal,,
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Other than Neonatal,2,1
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Viral Hepatitis(All Causes),4703,51
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Viral Meningitis,149,5
India,Delhi,"Calendar Year (Jan - Dec), 2019",Male,Whooping Cough,3,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",,Acute Encephalitis Syndrome,0,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",,Chikungunya,520,
India,Delhi,"Calendar Year (Jan - Dec), 2019",,Dengue,5077,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",,Influenza,3627,31
India,Delhi,"Calendar Year (Jan - Dec), 2019",,Japanese Encephalitis,0,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",,Kala-azar,0,0
India,Delhi,"Calendar Year (Jan - Dec), 2019",,Malaria,713,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Acute Diarrhoeal Diseases,11801,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Acute Respiratory Infection,48262,11
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Chicken Pox,168,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Cholera,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Diphtheria,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Encephalitis,9,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Enteric Fever(Typhoid),203,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Gonococcal Infection,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Measles,45,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Meningococcal Meningitis,1,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Pneumonia(All Causes),2012,33
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Rabies,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Syphilis,1,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Neonatal,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Other than Neonatal,12,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Viral Hepatitis(All Causes),45,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Viral Meningitis,3,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Female,Whooping Cough,0,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Acute Diarrhoeal Diseases,13322,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Acute Respiratory Infection,49103,21
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Chicken Pox,260,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Cholera,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Diphtheria,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Encephalitis,9,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Enteric Fever(Typhoid),248,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Gonococcal Infection,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Measles,43,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Meningococcal Meningitis,1,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Pneumonia(All Causes),2268,54
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Rabies,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Syphilis,0,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Neonatal,,
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Other than Neonatal,36,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Viral Hepatitis(All Causes),56,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Viral Meningitis,11,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Male,Whooping Cough,1,0
India,Goa,"Calendar Year (Jan - Dec), 2019",,Acute Encephalitis Syndrome,71,0
India,Goa,"Calendar Year (Jan - Dec), 2019",,Chikungunya,867,
India,Goa,"Calendar Year (Jan - Dec), 2019",,Dengue,992,0
India,Goa,"Calendar Year (Jan - Dec), 2019",,Influenza,108,3
India,Goa,"Calendar Year (Jan - Dec), 2019",,Japanese Encephalitis,1,0
India,Goa,"Calendar Year (Jan - Dec), 2019",,Kala-azar,0,0
India,Goa,"Calendar Year (Jan - Dec), 2019",,Malaria,272,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Acute Diarrhoeal Diseases,352899,2
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Acute Respiratory Infection,1120529,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Chicken Pox,1092,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Cholera,45,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Diphtheria,223,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Encephalitis,2,1
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Enteric Fever(Typhoid),27969,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Gonococcal Infection,631,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Measles,209,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Meningococcal Meningitis,1,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Pneumonia(All Causes),1690,1
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Rabies,,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Syphilis,68,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Neonatal,0,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Other than Neonatal,,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Viral Hepatitis(All Causes),2593,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Viral Meningitis,8,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Female,Whooping Cough,9,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Acute Diarrhoeal Diseases,388306,3
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Acute Respiratory Infection,1194551,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Chicken Pox,1134,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Cholera,55,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Diphtheria,219,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Encephalitis,1,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Enteric Fever(Typhoid),26899,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Gonococcal Infection,264,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Measles,316,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Meningococcal Meningitis,3,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Pneumonia(All Causes),2214,1
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Rabies,,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Syphilis,77,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Neonatal,2,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Other than Neonatal,,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Viral Hepatitis(All Causes),3433,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Viral Meningitis,9,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Male,Whooping Cough,7,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,Acute Encephalitis Syndrome,0,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,Chikungunya,8084,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,Dengue,18219,17
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,Influenza,4844,151
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,Japanese Encephalitis,0,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,Kala-azar,0,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,Malaria,13883,1
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Acute Diarrhoeal Diseases,89825,10
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Acute Respiratory Infection,470886,27
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Chicken Pox,206,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Cholera,9,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Diphtheria,108,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Encephalitis,11,1
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Enteric Fever(Typhoid),18158,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Gonococcal Infection,2814,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Measles,35,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Meningococcal Meningitis,147,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Pneumonia(All Causes),4482,15
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Rabies,0,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Syphilis,10,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Neonatal,,
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Other than Neonatal,7,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Viral Hepatitis(All Causes),7965,4
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Viral Meningitis,46,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Female,Whooping Cough,33,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Acute Diarrhoeal Diseases,97447,39
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Acute Respiratory Infection,486945,41
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Chicken Pox,264,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Cholera,9,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Diphtheria,115,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Encephalitis,27,1
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Enteric Fever(Typhoid),19336,1
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Gonococcal Infection,2248,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Measles,62,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Meningococcal Meningitis,161,2
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Pneumonia(All Causes),5569,37
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Rabies,0,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Syphilis,13,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Neonatal,,
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Tetanus Other than Neonatal,6,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Viral Hepatitis(All Causes),8282,6
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Viral Meningitis,116,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",Male,Whooping Cough,50,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",,Acute Encephalitis Syndrome,0,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",,Chikungunya,0,
India,Haryana,"Calendar Year (Jan - Dec), 2019",,Dengue,1207,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",,Influenza,1041,16
India,Haryana,"Calendar Year (Jan - Dec), 2019",,Japanese Encephalitis,0,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",,Kala-azar,0,0
India,Haryana,"Calendar Year (Jan - Dec), 2019",,Malaria,1497,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Acute Diarrhoeal Diseases,188405,8
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Acute Respiratory Infection,910776,50
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Chicken Pox,1128,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Cholera,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Diphtheria,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Encephalitis,18,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Enteric Fever(Typhoid),15971,2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Gonococcal Infection,1920,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Measles,5,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Meningococcal Meningitis,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Pneumonia(All Causes),5806,39
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Rabies,1,1
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Syphilis,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Neonatal,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Tetanus Other than Neonatal,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Viral Hepatitis(All Causes),769,1
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Viral Meningitis,65,1
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Female,Whooping Cough,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Acute Diarrhoeal Diseases,170916,13
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Acute Respiratory Infection,820007,73
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Chicken Pox,1230,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Cholera,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Diphtheria,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Encephalitis,28,1
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Enteric Fever(Typhoid),15101,4
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Gonococcal Infection,293,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Measles,9,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Meningococcal Meningitis,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Male,Pneumonia(All Causes),6332,65
