Country,State,Year,Gender,Type Of Disease,"Cases (UOM:Number), Scaling Factor:1","Deaths (UOM:Number), Scaling Factor:1"
India,Tripura,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",,Influenza,24,1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",,Influenza,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021",,Influenza,108,4
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,5092,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,17232,5
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,168,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Cholera,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,6,3
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),235,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Measles,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),98,7
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Rabies,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),16,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,2,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,5699,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,18705,12
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,164,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Cholera,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,3,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),255,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Measles,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),109,12
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Rabies,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),52,1
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,Acute Encephalitis Syndrome,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,Chikungunya,610,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,Dengue,98,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,Influenza,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,Japanese Encephalitis,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,Kala-azar,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,Malaria,85,2
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,314453,91
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,872502,487
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,318,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Cholera,0,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,107,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,107,1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),31858,4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,8273,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Measles,143,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,130,3
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),9986,148
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Rabies,3,3
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,7559,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,16,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,129,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),2312,11
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,1050,3
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,730,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,312027,193
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,912070,773
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,362,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Cholera,10,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,95,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,176,2
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),33210,5
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,2788,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Measles,230,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,234,2
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),11789,244
