Country,State,Year,Gender,DiseaseType,Cases,Deaths
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),9986.0,148.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Rabies,3.0,3.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,7559.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,16.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,129.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),2312.0,11.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,1050.0,3.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,730.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,312027.0,193.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,912070.0,773.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,362.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Cholera,10.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,95.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,176.0,2.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),33210.0,5.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,2788.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Measles,230.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,234.0,2.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),11789.0,244.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Rabies,6.0,6.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,3112.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,17.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,131.0,0.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),2873.0,20.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,1196.0,5.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,670.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,2965.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,4227.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,26.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Cholera,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),439.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Measles,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),93.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Rabies,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),6.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,3784.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,5169.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,35.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Cholera,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),574.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Measles,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),117.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Rabies,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,46932.072911859716,10.537840332256575
